#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	capture_loss
#open	2017-01-04-14-57-34
#fields	ts	ts_delta	peer	gaps	acks	percent_lost
#types	time	interval	string	count	count	double
1258570073.023960	905.936703	bro	0	0	0.0
1258570983.914402	910.890442	bro	0	0	0.0
1258571883.914425	900.000023	bro	0	0	0.0
1258572792.028365	908.113940	bro	0	0	0.0
1258573700.486211	908.457846	bro	0	0	0.0
1258574603.256353	902.770142	bro	0	0	0.0
1258575513.914392	910.658039	bro	0	0	0.0
1258576413.914417	900.000025	bro	0	0	0.0
1258577313.914419	900.000002	bro	0	0	0.0
1258578213.914424	900.000005	bro	0	0	0.0
1258579143.914420	929.999996	bro	0	0	0.0
1258580054.193182	910.278762	bro	0	0	0.0
1258580962.498815	908.305633	bro	0	0	0.0
1258581863.296257	900.797442	bro	0	0	0.0
1258582773.914804	910.618547	bro	0	0	0.0
1258583703.914388	929.999584	bro	0	0	0.0
1258584603.914755	900.000367	bro	0	0	0.0
1258585504.219892	900.305137	bro	0	0	0.0
1258586433.914402	929.694510	bro	0	0	0.0
1258587333.914442	900.000040	bro	0	0	0.0
1258588233.914490	900.000048	bro	0	0	0.0
1258589163.914436	929.999946	bro	0	0	0.0
1258590093.914386	929.999950	bro	0	0	0.0
1258591023.914400	930.000014	bro	0	0	0.0
1258591923.914454	900.000054	bro	0	0	0.0
1258592823.920314	900.005860	bro	0	0	0.0
1258593724.385339	900.465025	bro	0	0	0.0
1258594624.456722	900.071383	bro	0	0	0.0
1258595524.459078	900.002356	bro	0	0	0.0
1258596453.914412	929.455334	bro	0	0	0.0
1258597378.402371	924.487959	bro	0	0	0.0
1258598283.914436	905.512065	bro	0	0	0.0
1258599213.914395	929.999959	bro	0	0	0.0
1258600143.914397	930.000002	bro	0	0	0.0
1258601043.914411	900.000014	bro	0	0	0.0
1258601943.914411	900.000000	bro	0	0	0.0
1258602843.914426	900.000015	bro	0	0	0.0
1258603773.914400	929.999974	bro	0	0	0.0
1258604682.127753	908.213353	bro	0	0	0.0
1258605603.914399	921.786646	bro	0	0	0.0
1258606533.914399	930.000000	bro	0	0	0.0
1258607433.914406	900.000007	bro	0	0	0.0
1258608363.914426	930.000020	bro	0	0	0.0
1258609282.885504	918.971078	bro	0	0	0.0
1258610183.402091	900.516587	bro	0	0	0.0
1258611093.914394	910.512303	bro	0	0	0.0
1258611993.914403	900.000009	bro	0	0	0.0
1258612893.914407	900.000004	bro	0	0	0.0
1258613794.109738	900.195331	bro	0	0	0.0
1258614723.914430	929.804692	bro	0	0	0.0
1258615653.914395	929.999965	bro	0	0	0.0
1258616553.914419	900.000024	bro	0	0	0.0
1258617483.914403	929.999984	bro	0	0	0.0
1258618383.914409	900.000006	bro	0	0	0.0
1258619289.282529	905.368120	bro	0	0	0.0
1258620213.914439	924.631910	bro	0	0	0.0
1258621143.914418	929.999979	bro	0	0	0.0
1258622069.643219	925.728801	bro	0	0	0.0
1258622973.914415	904.271196	bro	0	0	0.0
1258623873.914423	900.000008	bro	0	0	0.0
1258624803.914406	929.999983	bro	0	0	0.0
1258625703.914425	900.000019	bro	0	0	0.0
1258626633.914400	929.999975	bro	0	0	0.0
1258627563.914404	930.000004	bro	0	0	0.0
1258628463.914422	900.000018	bro	0	0	0.0
1258629393.914410	929.999988	bro	0	0	0.0
1258630293.914417	900.000007	bro	0	0	0.0
1258631223.914410	929.999993	bro	0	0	0.0
1258632144.999045	921.084635	bro	0	0	0.0
1258633053.914401	908.915356	bro	0	0	0.0
1258633983.914409	930.000008	bro	0	0	0.0
1258634913.914388	929.999979	bro	0	0	0.0
1258635813.914388	900.000000	bro	0	0	0.0
1258636713.914419	900.000031	bro	0	0	0.0
1258637643.914422	930.000003	bro	0	0	0.0
1258638543.914433	900.000011	bro	0	0	0.0
1258639457.726156	913.811723	bro	0	0	0.0
1258640373.914409	916.188253	bro	0	0	0.0
1258641274.294117	900.379708	bro	0	0	0.0
1258642203.914412	929.620295	bro	0	0	0.0
1258643133.914420	930.000008	bro	0	0	0.0
1258644063.914395	929.999975	bro	0	0	0.0
1258644963.914405	900.000010	bro	0	0	0.0
1258645863.914422	900.000017	bro	0	0	0.0
1258646793.914394	929.999972	bro	0	0	0.0
1258647693.914406	900.000012	bro	0	0	0.0
1258648593.914406	900.000000	bro	0	0	0.0
1258649493.914471	900.000065	bro	0	0	0.0
1258650423.914399	929.999928	bro	0	0	0.0
1258651323.914412	900.000013	bro	0	0	0.0
1258652232.194544	908.280132	bro	0	0	0.0
1258652823.914387	591.719843	bro	0	0	0.0
#close	2017-01-04-14-57-48
